"id","Completo","1","2","3","4","5","6","7","7 [Outro]","8 [Ensino fundamental] [Completo]","8 [Ensino fundamental] [Cursando]","8 [Ensino médio] [Completo]","8 [Ensino médio] [Cursando]","8 [Ensino técnico] [Completo]","8 [Ensino técnico] [Cursando]","8 [Ensino superior] [Completo]","8 [Ensino superior] [Cursando]","1","1 [Outro]","2 [Em casa]","2 [Na escola]","2 [Na lan-house]","2 [Em espaços públicos]","2 [Outros]","3","4 [Computador]","4 [Notebook / Laptop]","4 [Celular / Smartphone / Palmtop]","4 [Video-game]","4 [Outros]","5","6 [E-mail]","6 [Jogos]","6 [Blogs]","6 [Fóruns]","6 [Portais/Notícias]","6 [M.I.]","6 [Sites de relacionamento]","6 [Bate-papo]","6 [Vídeos]","6 [Outros]","7","8 [Orkut]","8 [MySpace]","8 [Facebook]","8 [Twitter]","8 [Não uso sites de relacionamento]","8 [Outro]","1 [Acho importante poder manter contato com os outros participantes da feira após o fim da Febrace]","1 [É possível que um grupo trabalhe num mesmo projeto sem estar na mesma cidade, pela Internet]","1 [A idéia de uma feira de ciências virtual na internet é interessante]","2","3","4","5","6"
"7","Y","Feminino","14","Imperatriz","Maranhão","CE Dom Bosco","Particular","Finalista","","1","0","0","0","0","0","0","0","Outro","11","1 a 3 vezes por semana","1 a 3 vezes por semana","1 a 3 vezes por semana","De vez em quando","","","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","","","De vez em quando","De vez em quando","Nunca","Nunca","De vez em quando","Todos os dias","Todos os dias","1 a 3 vezes por semana","1 a 3 vezes por semana","","","Sim","Sim","Não","Não","Não","","Concordo","Neutro","Neutro","Sim","Gosto, cheio de oportunidades para projetos.","Sim","Rápido acesso, seguro... perfeito!","Internet é ótimo, meio de comunicação perfeito!"
"8","Y","Masculino","32","São Bernardo do Campo","São Paulo","Instituto Braudel","Fundação","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","","","Todos os dias","1 a 3 vezes por semana","Nunca","Nunca","","","Todos os dias","Todos os dias","Todos os dias","Nunca","","","Todos os dias","Nunca","De vez em quando","De vez em quando","Todos os dias","De vez em quando","De vez em quando","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo totalmente","Concordo totalmente","Sim","Bom site. Poderia contar mais conteúdo.","Sim","Adequado.","POssibilidade de realizar projetos em conjunto à distância."
"9","Y","Masculino","14","Imperatriz","Maranhão","Complexo Educacional Dom Bosco","Particular","Finalista","","1","0","0","1","0","0","0","0","Outro","7","Todos os dias","De vez em quando","Nunca","De vez em quando","","","Todos os dias","De vez em quando","Nunca","Nunca","","","1 a 3 vezes por semana","De vez em quando","De vez em quando","De vez em quando","De vez em quando","Todos os dias","Nunca","De vez em quando","Todos os dias","","","Sim","Não","Não","Não","Não","Hi 5","Concordo totalmente","Concordo","Concordo totalmente","Sim","Muito importante tanto para quem participa como para quem quer visitar. ","Sim","Rápido e prático, além de seguro.","Hoje não há desculpas para quem não fez tarefa de casa, havendo MSN..."
"10","Y","Masculino","19","São Bernardo do Campo","São Paulo","Inst. Fernand Braudel","Fundação","Orientador / Co-orientador","","1","0","1","0","1","0","0","1","Outro","10","Todos os dias","Todos os dias","De vez em quando","De vez em quando","","","Todos os dias","De vez em quando","Todos os dias","Nunca","","","Todos os dias","Nunca","Todos os dias","Todos os dias","Todos os dias","Todos os dias","Todos os dias","Todos os dias","1 a 3 vezes por semana","","","Sim","Sim","Não","Sim","Não","","Concordo totalmente","Neutro","Concordo","Sim","O site é interessante e apresenta informações úteis para quem participa e que deseja participar.","Sim","Achei facilitador.","Deveria haver mais vídeos sobre os projetos no site da Febrace."
"11","Y","Feminino","16","São Bernardo do Campo","São Paulo","Escola Estadual Marco A.P. de Toledo","Pública","Finalista","","1","0","0","1","0","0","0","0","Outro","11","Todos os dias","Nunca","De vez em quando","De vez em quando","","","Todos os dias","De vez em quando","De vez em quando","Nunca","","","Todos os dias","Nunca","Todos os dias","De vez em quando","Todos os dias","Todos os dias","Todos os dias","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Concordo","Sim","Muito interessante com muitas informações úteis.","Sim","Bom.",""
"12","Y","Masculino","14","Osasco","São Paulo","E.E. Básica Fundação Bradesco - Jd. Conceição","Fundação","Finalista","","0","0","0","1","0","0","0","0","","","De vez em quando","De vez em quando","De vez em quando","De vez em quando","","","Todos os dias","","","Todos os dias","","","De vez em quando","De vez em quando","1 a 3 vezes por semana","De vez em quando","De vez em quando","1 a 3 vezes por semana","De vez em quando","De vez em quando","De vez em quando","","","Sim","Sim","Não","Não","Não","","Concordo","Neutro","Concordo","Sim","Bom. Com explicações precisas.","Não","",""
"13","Y","Feminino","28","Osasco","São Paulo","Fundação Bradesco Jardim Conceição","Fundação","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","10","Todos os dias","Todos os dias","Nunca","De vez em quando","","","Todos os dias","De vez em quando","De vez em quando","Nunca","","","Todos os dias","De vez em quando","De vez em quando","De vez em quando","De vez em quando","De vez em quando","De vez em quando","De vez em quando","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo totalmente","Concordo","Neutro","Sim","Fácil de navegar.","Sim","Deixa dúvidas sobre a postagem final.",""
"14","Y","Feminino","14","São Bernardo do Campo","São Paulo","E.E. Nail Franco de Mello Boni","Pública","Finalista","","0","0","0","1","0","0","0","0","Outro","11","Nunca","De vez em quando","1 a 3 vezes por semana","Nunca","","","1 a 3 vezes por semana","Nunca","Nunca","","","","1 a 3 vezes por semana","De vez em quando","Nunca","Nunca","Nunca","1 a 3 vezes por semana","De vez em quando","Nunca","De vez em quando","","","Sim","Não","Não","Não","Não","","Concordo","Concordo","Concordo","Sim","Eu acho que é importante para as pessoas estarem conhecendo e até poder participar. ","Sim","Não tivemos problemas dao submeter os projetos.",""
"15","Y","Feminino","21","São Bernardo do Campo","São Paulo","EE Nail Franco de Mello Boni","Pública","Orientador / Co-orientador","","0","0","0","0","0","0","0","1","Outro","13","Todos os dias","1 a 3 vezes por semana","Nunca","1 a 3 vezes por semana","","","Todos os dias","De vez em quando","Todos os dias","1 a 3 vezes por semana","","","Todos os dias","De vez em quando","De vez em quando","1 a 3 vezes por semana","Todos os dias","1 a 3 vezes por semana","Todos os dias","De vez em quando","1 a 3 vezes por semana","","","Sim","Sim","Não","Não","Não","","Concordo totalmente","Neutro","Concordo totalmente","Sim","Muito bom, porém, acho díficil entrar na parte do login.","Sim","Bom, não tive problemas para submeter projetos.",""
"16","Y","Masculino","38","Cubatão","São Paulo","EE Professor José da Costa","Pública","Orientador / Co-orientador","","0","0","0","0","0","0","1","0","Outro","16","Todos os dias","De vez em quando","Nunca","De vez em quando","","","Todos os dias","Nunca","De vez em quando","Nunca","Nunca","","Todos os dias","Nunca","1 a 3 vezes por semana","1 a 3 vezes por semana","Todos os dias","De vez em quando","Nunca","Nunca","1 a 3 vezes por semana","","","Não","Não","Não","Não","Sim","","Concordo","Concordo","Concordo","Sim","Informativo, boa navegabilidade, poderia ser mais diretos para solução de dúvidas.","Sim","Eficiente.",""
